STATION,STATION_NAME,DATE,QGAG,QPCP
COOP:123418,GOSHEN 3 SW IN US,20090817 07:45,4.2,0.3
COOP:123418,GOSHEN 3 SW IN US,20090817 08:00,4.21,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 08:15,4.22,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 08:45,4.23,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 09:00,4.24,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 09:15,4.26,0.2
COOP:123418,GOSHEN 3 SW IN US,20090817 09:30,4.3,0.4
COOP:123418,GOSHEN 3 SW IN US,20090817 09:45,4.34,0.4
COOP:123418,GOSHEN 3 SW IN US,20090817 10:00,4.36,0.2
COOP:123418,GOSHEN 3 SW IN US,20090817 10:15,4.38,0.2
COOP:123418,GOSHEN 3 SW IN US,20090817 10:45,4.39,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 11:30,4.4,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 11:45,4.42,0.2
COOP:123418,GOSHEN 3 SW IN US,20090817 12:00,4.43,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 17:00,4.49,0.6
COOP:123418,GOSHEN 3 SW IN US,20090817 17:15,4.5,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 17:45,4.51,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 18:30,4.53,0.2
COOP:123418,GOSHEN 3 SW IN US,20090817 22:15,4.54,0.1
COOP:123418,GOSHEN 3 SW IN US,20090817 22:45,4.55,0.1
COOP:123418,GOSHEN 3 SW IN US,20090818 00:15,4.56,0.1
COOP:123418,GOSHEN 3 SW IN US,20090819 21:30,4.57,0.1
COOP:123418,GOSHEN 3 SW IN US,20090819 22:15,4.58,0.1
COOP:123418,GOSHEN 3 SW IN US,20090820 08:45,4.63,-9999
COOP:123418,GOSHEN 3 SW IN US,20090821 19:45,4.64,0.1
COOP:123418,GOSHEN 3 SW IN US,20090821 23:30,4.65,0.1
COOP:123418,GOSHEN 3 SW IN US,20090822 02:30,4.66,0.1
COOP:123418,GOSHEN 3 SW IN US,20090822 16:00,4.67,0.1
COOP:123418,GOSHEN 3 SW IN US,20090826 16:45,4.68,0.1
COOP:123418,GOSHEN 3 SW IN US,20090826 19:00,4.69,0.1
COOP:123418,GOSHEN 3 SW IN US,20090827 04:45,4.7,0.1
COOP:123418,GOSHEN 3 SW IN US,20090827 06:00,4.71,0.1
COOP:123418,GOSHEN 3 SW IN US,20090827 07:45,4.72,0.1
COOP:123418,GOSHEN 3 SW IN US,20090827 08:30,4.74,0.2
COOP:123418,GOSHEN 3 SW IN US,20090827 08:45,4.75,0.1
COOP:123418,GOSHEN 3 SW IN US,20090827 09:00,4.76,0.1
COOP:123418,GOSHEN 3 SW IN US,20090827 10:00,4.77,0.1
COOP:123418,GOSHEN 3 SW IN US,20090827 14:45,4.78,0.1
COOP:123418,GOSHEN 3 SW IN US,20090828 03:15,4.79,0.1
COOP:123418,GOSHEN 3 SW IN US,20090828 05:00,4.8,0.1
COOP:123418,GOSHEN 3 SW IN US,20090828 05:30,4.81,0.1
COOP:123418,GOSHEN 3 SW IN US,20090828 05:45,4.82,0.1
COOP:123418,GOSHEN 3 SW IN US,20090828 06:00,4.84,0.2
COOP:123418,GOSHEN 3 SW IN US,20090828 06:15,4.85,0.1
COOP:123418,GOSHEN 3 SW IN US,20090828 06:30,4.87,0.2
COOP:123418,GOSHEN 3 SW IN US,20090828 06:45,4.9,0.3
COOP:123418,GOSHEN 3 SW IN US,20090828 07:15,4.91,0.1
COOP:123418,GOSHEN 3 SW IN US,20090828 09:00,4.92,0.1
COOP:123418,GOSHEN 3 SW IN US,20090901 00:15,4.92,0
COOP:123418,GOSHEN 3 SW IN US,20090910 20:15,4.92,-9999
COOP:123418,GOSHEN 3 SW IN US,20090911 19:45,4.92,-9999
COOP:123418,GOSHEN 3 SW IN US,20090912 20:00,4.92,-9999
COOP:123418,GOSHEN 3 SW IN US,20090913 20:30,4.92,-9999
COOP:123418,GOSHEN 3 SW IN US,20090914 19:45,4.92,-9999
COOP:123418,GOSHEN 3 SW IN US,20090915 12:30,4.93,-9999
