STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/22/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/23/2009,0.06,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/24/2009,0.05,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/25/2009,0.25,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/26/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/27/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/28/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/29/2009,0.23,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/30/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",7/31/2009,0.08,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/1/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/2/2009,0.03,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/3/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/4/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/5/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/6/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/7/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/11/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/12/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/13/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/14/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/15/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/16/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/17/2009,0.65,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/18/2009,0.16,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/19/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/20/2009,1.16,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/21/2009,0.06,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/22/2009,0.11,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/23/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/24/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/25/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/26/2009,0.02,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/27/2009,1.26,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/28/2009,1.46,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/29/2009,0.03,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/30/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",8/31/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/1/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/2/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/3/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/4/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/5/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/6/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/7/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/8/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/9/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/10/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/11/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/12/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/13/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/14/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/15/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/16/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/17/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/18/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/19/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/20/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/21/2009,0.24,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/22/2009,0.15,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/23/2009,0.07,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/24/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/25/2009,0.03,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/26/2009,0.44,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",9/27/2009,0.02,,,,,,,,,,,,,
