
Date / Time: Thu Mar 30 14:21:26 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 2
 - 10
 - 4
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (37):: Fit: 4.24116	PB: 4.24116	LB: 13.2014	GB: 14.8015	Conf: 0.406361	Pts: 55295
Particle (42):: Fit: 13.2525	PB: 13.2525	LB: 13.2525	GB: 14.8015	Conf: 0.650248	Pts: 130195
Global: 14.8015 - Correct: 90% of 10 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.7692
  -- 1 : 2 = 0.0878
  -- 1 : 3 = 0.479
  -- 1 : 4 = 0.7538
  -- 1 : 5 = 0.8163
  -- 1 : 6 = 0.0353
  -- 1 : 7 = 0.1489
  -- 1 : 8 = 0.2085
  -- 1 : 9 = 0.6255
  -- 1 : 10 = 0.3439
  -- 2 : 1 = 0.6928
  -- 2 : 2 = 0.5965
  -- 2 : 3 = 0.4552
  -- 2 : 4 = 0.6081
  -- 2 : 5 = 0.5178
  -- 2 : 6 = 0.21
  -- 2 : 7 = 0.1426
  -- 2 : 8 = 0.6264
  -- 2 : 9 = 0.703
  -- 2 : 10 = 0.0248
  -- 3 : 1 = 0.0992
  -- 3 : 2 = 0.5881
  -- 3 : 3 = 0.4043
  -- 3 : 4 = 0.9794
  -- 3 : 5 = 0.6973
  -- 3 : 6 = 0.4362
  -- 3 : 7 = 0.9591
  -- 3 : 8 = 0.7717
  -- 3 : 9 = 0.6889
  -- 3 : 10 = 0.183
  -- 4 : 1 = 0.9476
  -- 4 : 2 = 0.1081
  -- 4 : 3 = 0.3168
  -- 4 : 4 = 0.7783
  -- 4 : 5 = 0.2312
  -- 4 : 6 = 0.188
  -- 4 : 7 = 0.2514
