
Date / Time: Thu Mar 30 23:50:48 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 10
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (23):: Fit: 34.5046	PB: 34.5046	LB: 62.3216	GB: 76.1769	Conf: 0.923289	Pts: 60296
Particle (26):: Fit: 35.8241	PB: 35.8241	LB: 75.4417	GB: 76.1769	Conf: 2	Pts: 55296
Particle (30):: Fit: 73.393	PB: 73.393	LB: 75.4417	GB: 76.1769	Conf: 1.89192	Pts: 105396
Particle (35):: Fit: 34.0028	PB: 34.0028	LB: 75.4417	GB: 76.1769	Conf: 1.66328	Pts: 60296
Particle (43):: Fit: 37.9589	PB: 37.9589	LB: 68.0431	GB: 76.1769	Conf: 2	Pts: 60196
Particle (47):: Fit: 44.2876	PB: 44.2876	LB: 76.1769	GB: 76.1769	Conf: 1.19065	Pts: 60296
Particle (49):: Fit: 33.5929	PB: 33.5929	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 50196
Particle (5):: Fit: 33.5929	PB: 33.5929	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 55295
Particle (18):: Fit: 67.924	PB: 67.924	LB: 67.924	GB: 76.1769	Conf: 1.50219	Pts: 145395
Particle (28):: Fit: 57.477	PB: 57.477	LB: 75.4417	GB: 76.1769	Conf: 0.452742	Pts: 150293
Particle (36):: Fit: 33.5929	PB: 33.5929	LB: 48.9882	GB: 76.1769	Conf: 2	Pts: 55295
Particle (40):: Fit: 31.5243	PB: 31.5243	LB: 48.9882	GB: 76.1769	Conf: 0.138689	Pts: 55295
Particle (45):: Fit: 31.232	PB: 31.232	LB: 68.0431	GB: 76.1769	Conf: 2	Pts: 50195
Particle (47):: Fit: 58.8494	PB: 58.8494	LB: 76.1769	GB: 76.1769	Conf: 1.07586	Pts: 65395
Particle (2):: Fit: 33.5929	PB: 33.5929	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 55494
Particle (7):: Fit: 39.1724	PB: 39.1724	LB: 69.0822	GB: 76.1769	Conf: 0.69345	Pts: 65294
Particle (12):: Fit: 68.225	PB: 68.225	LB: 69.0822	GB: 76.1769	Conf: 1.05754	Pts: 80294
Particle (13):: Fit: 74.0174	PB: 74.0174	LB: 74.0174	GB: 76.1769	Conf: 1.72709	Pts: 130394
Particle (17):: Fit: 40.0216	PB: 40.0216	LB: 74.0174	GB: 76.1769	Conf: 2	Pts: 55294
Particle (39):: Fit: 67.7643	PB: 67.7643	LB: 67.7643	GB: 76.1769	Conf: 1.8045	Pts: 135194
Particle (41):: Fit: 35.8241	PB: 35.8241	LB: 67.7643	GB: 76.1769	Conf: 2	Pts: 60294
Particle (42):: Fit: 33.5929	PB: 33.5929	LB: 67.7643	GB: 76.1769	Conf: 2	Pts: 60194
Particle (45):: Fit: 33.8186	PB: 33.8186	LB: 68.0431	GB: 76.1769	Conf: 1.88954	Pts: 50294
Particle (0):: Fit: 37.9589	PB: 37.9589	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 110393
Particle (2):: Fit: 35.8241	PB: 35.8241	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 55593
Particle (7):: Fit: 46.3476	PB: 46.3476	LB: 69.0822	GB: 76.1769	Conf: 1.18501	Pts: 65393
Particle (8):: Fit: 54.6173	PB: 54.6173	LB: 74.0174	GB: 76.1769	Conf: 0.602431	Pts: 85193
Particle (29):: Fit: 60.4013	PB: 60.4013	LB: 75.4417	GB: 76.1769	Conf: 1.61182	Pts: 65293
Particle (32):: Fit: 35.8241	PB: 35.8241	LB: 75.4417	GB: 76.1769	Conf: 2	Pts: 55293
Particle (44):: Fit: 28.8377	PB: 28.8377	LB: 68.0431	GB: 76.1769	Conf: 1.08433	Pts: 50293
Particle (11):: Fit: 73.0155	PB: 73.0155	LB: 74.0174	GB: 76.1769	Conf: 1.18178	Pts: 75392
Particle (13):: Fit: 74.1208	PB: 74.1208	LB: 74.1208	GB: 76.1769	Conf: 1.77695	Pts: 180492
Particle (44):: Fit: 33.5263	PB: 33.5263	LB: 68.0431	GB: 76.1769	Conf: 1.19891	Pts: 50392
Particle (5):: Fit: 35.8241	PB: 35.8241	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 55391
Particle (12):: Fit: 75.562	PB: 75.562	LB: 75.562	GB: 76.1769	Conf: 1.0978	Pts: 130391
Particle (14):: Fit: 49.6663	PB: 49.6663	LB: 75.562	GB: 76.1769	Conf: 0.907362	Pts: 55389
Particle (39):: Fit: 73.3945	PB: 73.3945	LB: 73.3945	GB: 76.1769	Conf: 1.89433	Pts: 175291
Particle (44):: Fit: 56.349	PB: 56.349	LB: 68.0431	GB: 76.1769	Conf: 1.73907	Pts: 50491
Particle (3):: Fit: 56.2739	PB: 56.2739	LB: 76.1769	GB: 76.1769	Conf: 1.77694	Pts: 60390
Particle (19):: Fit: 67.6235	PB: 67.6235	LB: 67.924	GB: 76.1769	Conf: 1.35989	Pts: 90290
Particle (20):: Fit: 31.78	PB: 31.78	LB: 67.924	GB: 76.1769	Conf: 0.851304	Pts: 55289
Particle (25):: Fit: 82.9581	PB: 82.9581	LB: 82.9581	GB: 82.9581	Conf: 1.88525	Pts: 160290
Particle (27):: Fit: 35.8241	PB: 35.8241	LB: 82.9581	GB: 82.9581	Conf: 2	Pts: 60290
Particle (31):: Fit: 84.2303	PB: 84.2303	LB: 84.2303	GB: 84.2303	Conf: 1.48988	Pts: 175390
Particle (37):: Fit: 32.7015	PB: 32.7015	LB: 73.3945	GB: 84.2303	Conf: 1.87905	Pts: 55290
Global: 84.2303 - Correct: 50% of 10 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.0052
  -- 1 : 2 = 0.4062
  -- 1 : 3 = 0.8621
  -- 1 : 4 = 0.0553
  -- 1 : 5 = 0.5417
  -- 1 : 6 = 0.5088
  -- 1 : 7 = 0.0326
  -- 1 : 8 = 0.0959
  -- 1 : 9 = 0.1414
  -- 1 : 10 = 0.1981
  -- 2 : 1 = 0.8802
  -- 2 : 2 = 0.1737
  -- 2 : 3 = 0.3312
  -- 2 : 4 = 0.7642
  -- 2 : 5 = 0.0525
  -- 2 : 6 = 0.3218
  -- 2 : 7 = 0.2932
  -- 2 : 8 = 0.07
  -- 2 : 9 = 0.2633
  -- 2 : 10 = 0.8982
  -- 3 : 1 = 0.8625
  -- 3 : 2 = 0.9067
